Country,Country_code,Happiness.Scale,Happiness.Score,GDP,GINI,VoiceandAccountability,PoliticalStabilityNoViolence,GovermentEffectiveness,RegulatoryQuality,RuleofLaw,ControlofCorruption
Venezuela (Bolivarian Republic of),VEN,3,-0.06399771502168514,0.1065026951565513,1.165439981684397,-1.2745731996026004,-1.0380387804548221,-1.4375010060344495,-2.0465037025321946,-2.214775620287722,-1.283007332218075
Montenegro,MNE,3,-0.07545286294374387,-0.30855735588248223,-0.7618172523791,0.11830336797297454,0.23903504767632078,0.15573510630912635,0.2660474108433,0.07384502433114903,0.007767830447418244
Morocco,MAR,3,-0.0772150641096196,-0.5591599454460014,0.214659746213072,-0.6912967979978452,-0.21340321469863127,-0.1666493634324782,-0.2735384786373746,-0.1157470055811096,-0.03774990801735553
Azerbaijan,AZE,3,-0.07809616469255239,-0.5001576049489873,-1.4427814750815353,-1.6436219620437476,-0.5889076340397419,-0.16829350696892487,-0.29151461731424455,-0.49989853698497566,-0.7988829633905092
Dominican Republic,DOM,3,-0.08162098719623924,-0.34689507187643415,1.0112594029593178,0.15353438690709617,0.3968388675271848,-0.3648269112134634,-0.12067145757011187,-0.36096691207811,-0.6507946024463054
Greece,GRC,3,-0.08426428894504853,0.25978466871471456,-0.235033608401744,0.7285624300179736,0.09075009870886243,0.31912549043426097,0.20408973864697288,0.14543552538759066,-0.04343614643040395
Lebanon,LBN,3,-0.08602691028286903,-0.254730467802232,-0.7746656339395231,-0.6128068630831387,-1.4811750583113374,-0.5292644952114108,-0.3545764268947177,-0.7706805583477212,-0.9150159974551814
Portugal,PRT,3,-0.11246160845872935,0.39217410671422603,-0.29927551620386056,1.2492060127295008,1.380960531693137,1.3637046126021277,0.8909104145139298,1.2030788685365872,0.9802996201506308
Bosnia and Herzegovina,BIH,3,-0.12391675638078808,-0.44681136508655583,-0.6204850552144434,-0.2268865416643731,-0.18387582105204336,-0.49707376674517334,-0.19332627532428343,-0.15246015176579109,-0.42480244505249287
Honduras,HND,3,-0.12479785696372947,-0.586820754086046,1.6279817178596365,-0.47164458511981033,-0.36590812188368205,-0.5272525632199255,-0.4867394525741048,-0.994904925001342,-0.6293396641502726
